meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
of blank verse,with a trochaic inversion,kangaroo,write a line of blank verse including the word kangaroo with a trochaic inversion,"Kangaroo leaps across the dusty plain.
",,,,,,,
of blank verse,with a trochaic inversion,platypus,write a line of blank verse including the word platypus with a trochaic inversion,"Platypus strange, a creature of the stream,
",,,,,,,
of blank verse,with a trochaic inversion,porcupine,write a line of blank verse including the word porcupine with a trochaic inversion,"Porcupine quills, a bristling, fearful sight,
",,,,,,,
of blank verse,with a trochaic inversion,pangolin,write a line of blank verse including the word pangolin with a trochaic inversion,"Pangolin scales shimmered, dusk settling slow.
",,,,,,,
of blank verse,with a trochaic inversion,ocelot,write a line of blank verse including the word ocelot with a trochaic inversion,"Ocelot sleek, through shadows did it glide.
",,,,,,,
of blank verse,with a trochaic inversion,lemur,write a line of blank verse including the word lemur with a trochaic inversion,"Lemur, a shadow flickered in the trees.
",,,,,,,
of blank verse,with a trochaic inversion,lemming,write a line of blank verse including the word lemming with a trochaic inversion,"Lemming, the desperate plunge, the icy stream.
",,,,,,,
of blank verse,with a trochaic inversion,otter,write a line of blank verse including the word otter with a trochaic inversion,"Otter sleek, the river flowed so deep.
",,,,,,,
of blank verse,with a trochaic inversion,parrot,write a line of blank verse including the word parrot with a trochaic inversion,"Parrot, a flash of green, then silence fell.
",,,,,,,
of blank verse,with a trochaic inversion,squirrel,write a line of blank verse including the word squirrel with a trochaic inversion,"Squirrel, quick, darted up the ancient oak.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,bear,write a line of blank verse including the word bear with a trochaic inversion after a caesura,"The hunter, ||  bear,  a terrible sight to see.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,whale,write a line of blank verse including the word whale with a trochaic inversion after a caesura,"The ocean's heart, || a whale did rise and fall.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,sloth,write a line of blank verse including the word sloth with a trochaic inversion after a caesura,"The heavy sloth, //  a creature of the trees,
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,cat,write a line of blank verse including the word cat with a trochaic inversion after a caesura,"The sleek black cat //  sat, eyes of burning coal.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,dog,write a line of blank verse including the word dog with a trochaic inversion after a caesura,"My loyal friend, the || dog,  did greet me there.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,giraffe,write a line of blank verse including the word giraffe with a trochaic inversion after a caesura,"The tall giraffe //  a creature of the sun.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,gazelle,write a line of blank verse including the word gazelle with a trochaic inversion after a caesura,"Across the plains, a graceful, swift gazelle.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,baboon,write a line of blank verse including the word baboon with a trochaic inversion after a caesura,"||  A chattering baboon,  the sun beat down.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,raccoon,write a line of blank verse including the word raccoon with a trochaic inversion after a caesura,"A // raccoon, sleek and sly,  crept through the night.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,macaw,write a line of blank verse including the word macaw with a trochaic inversion after a caesura,"A flash of blue, ||  a macaw, then silence fell.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,alpaca,write a line of blank verse including the word alpaca with a trochaic inversion after a caesura,"Softly the wind blew, // alpaca, fleece of white.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,hyena,write a line of blank verse including the word hyena with a trochaic inversion after a caesura,"The || hyena laughed, a chilling sound.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,chinchilla,write a line of blank verse including the word chinchilla with a trochaic inversion after a caesura,"The // soft chinchilla,  grey as winter's dawn.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,coyote,write a line of blank verse including the word coyote with a trochaic inversion after a caesura,"The desert wind // howled, a coyote's cry.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,gorilla,write a line of blank verse including the word gorilla with a trochaic inversion after a caesura,"The mighty beast, // gorilla strong and grim,
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,kangaroo,write a line of blank verse including the word kangaroo with a trochaic inversion after a caesura,"A bounding kangaroo, //  swift and strong, he leaps.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,platypus,write a line of blank verse including the word platypus with a trochaic inversion after a caesura,"The creature, // a platypus,  paddled in the stream.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,porcupine,write a line of blank verse including the word porcupine with a trochaic inversion after a caesura,"A prickly creature, // porcupine, did flee.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,pangolin,write a line of blank verse including the word pangolin with a trochaic inversion after a caesura,"The shy pangolin, //  a creature of the night,
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,ocelot,write a line of blank verse including the word ocelot with a trochaic inversion after a caesura,"The jungle pulsed, // and then, a flash, ocelot.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,lemur,write a line of blank verse including the word lemur with a trochaic inversion after a caesura,"A gentle creature, //  the lemur  climbed the tree.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,lemming,write a line of blank verse including the word lemming with a trochaic inversion after a caesura,"The lemming, //  swiftly, plunged into the sea.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,otter,write a line of blank verse including the word otter with a trochaic inversion after a caesura,"A sleek, dark otter, || swift he plunged below.
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,parrot,write a line of blank verse including the word parrot with a trochaic inversion after a caesura,"A gaudy parrot, //  squawking loud and free,
",,,,,,,
of blank verse,with a trochaic inversion after a caesura,squirrel,write a line of blank verse including the word squirrel with a trochaic inversion after a caesura,"The quick brown squirrel //  darting, leaped and climbed.
",,,,,,,
of blank verse,with an inverted metrical foot,bear,write a line of blank verse including the word bear with an inverted metrical foot,"The bear, a shadow, stalked through sunlit glade.
",,,,,,,
of blank verse,with an inverted metrical foot,whale,write a line of blank verse including the word whale with an inverted metrical foot,"A whale, vast shadow, breached the ocean's skin.
",,,,,,,
of blank verse,with an inverted metrical foot,sloth,write a line of blank verse including the word sloth with an inverted metrical foot,"Upon the slothful branch, a sunbeam slept.
",,,,,,,
of blank verse,with an inverted metrical foot,cat,write a line of blank verse including the word cat with an inverted metrical foot,"The sleek black cat, a shadow 'cross the floor, did creep.
",,,,,,,
of blank verse,with an inverted metrical foot,dog,write a line of blank verse including the word dog with an inverted metrical foot,"The playful dog, a bounding, furry friend,
",,,,,,,
of blank verse,with an inverted metrical foot,giraffe,write a line of blank verse including the word giraffe with an inverted metrical foot,"A stately giraffe, with legs so long and thin,
",,,,,,,
of blank verse,with an inverted metrical foot,gazelle,write a line of blank verse including the word gazelle with an inverted metrical foot,"Across the plain a graceful gazelle leaps.
",,,,,,,
of blank verse,with an inverted metrical foot,baboon,write a line of blank verse including the word baboon with an inverted metrical foot,"A baboon,  loudly screeching, swung from the vine.
",,,,,,,
of blank verse,with an inverted metrical foot,raccoon,write a line of blank verse including the word raccoon with an inverted metrical foot,"A masked raccoon, sly,  through the night did creep.
",,,,,,,
of blank verse,with an inverted metrical foot,macaw,write a line of blank verse including the word macaw with an inverted metrical foot,"A brilliant macaw,  winged, did fiercely gleam.
",,,,,,,
of blank verse,with an inverted metrical foot,alpaca,write a line of blank verse including the word alpaca with an inverted metrical foot,"The fluffy alpaca,  a cloud upon the hill, grazed.
",,,,,,,
of blank verse,with an inverted metrical foot,hyena,write a line of blank verse including the word hyena with an inverted metrical foot,"Laughing, the hyena  prowled the moonlit plain.
",,,,,,,
of blank verse,with an inverted metrical foot,chinchilla,write a line of blank verse including the word chinchilla with an inverted metrical foot,"A tiny chinchilla, soft and grey, then brown.
",,,,,,,
of blank verse,with an inverted metrical foot,coyote,write a line of blank verse including the word coyote with an inverted metrical foot,"Across the plains, a lone coyote howled.
",,,,,,,
of blank verse,with an inverted metrical foot,gorilla,write a line of blank verse including the word gorilla with an inverted metrical foot,"A mighty gorilla,  x  strong and strangely  swift,
",,,,,,,
of blank verse,with an inverted metrical foot,kangaroo,write a line of blank verse including the word kangaroo with an inverted metrical foot,"A bounding kangaroo,  with pouch so deep, did leap.
",,,,,,,
of blank verse,with an inverted metrical foot,platypus,write a line of blank verse including the word platypus with an inverted metrical foot,"A curious platypus,  by river's edge unseen, did glide.
",,,,,,,
of blank verse,with an inverted metrical foot,porcupine,write a line of blank verse including the word porcupine with an inverted metrical foot,"A prickly porcupine,  with quills of night, did roam.
",,,,,,,
of blank verse,with an inverted metrical foot,pangolin,write a line of blank verse including the word pangolin with an inverted metrical foot,"A pangolin, shy creature of the night, scaled.
",,,,,,,
of blank verse,with an inverted metrical foot,ocelot,write a line of blank verse including the word ocelot with an inverted metrical foot,"The sleek ocelot, silent, shadows the stream.
",,,,,,,
of blank verse,with an inverted metrical foot,lemur,write a line of blank verse including the word lemur with an inverted metrical foot,"A gentle lemur,  swiftly through the trees.
",,,,,,,
of blank verse,with an inverted metrical foot,lemming,write a line of blank verse including the word lemming with an inverted metrical foot,"A lemming, then, across the frozen lake, dashed.
",,,,,,,
of blank verse,with an inverted metrical foot,otter,write a line of blank verse including the word otter with an inverted metrical foot,"Swiftly the otter,  down the river flowed.
",,,,,,,
of blank verse,with an inverted metrical foot,parrot,write a line of blank verse including the word parrot with an inverted metrical foot,"A scarlet parrot squawked, then silent, flew.
",,,,,,,
of blank verse,with an inverted metrical foot,squirrel,write a line of blank verse including the word squirrel with an inverted metrical foot,"A nimble squirrel,  swiftly up the tree he ran.
",,,,,,,
in meter,,bear,write a line in meter including the word bear ,"A grizzly bear stalks through the winter's snare.
",,,,,,,
in meter,,whale,write a line in meter including the word whale ,"A mighty whale did breach the waves so high.
",,,,,,,
in meter,,sloth,write a line in meter including the word sloth ,"The sloth hangs heavy, dreaming in the sun.
",,,,,,,
in meter,,cat,write a line in meter including the word cat ,"A sleek black cat crept through the moonlit night.
",,,,,,,
in meter,,dog,write a line in meter including the word dog ,"My loyal dog, a friend so true.
",,,,,,,
in meter,,giraffe,write a line in meter including the word giraffe ,"The tall giraffe did gracefully aspire.
",,,,,,,
in meter,,gazelle,write a line in meter including the word gazelle ,"Across the plain, a graceful gazelle leaps.
",,,,,,,
in meter,,baboon,write a line in meter including the word baboon ,"A cheeky baboon swung from the mango tree.
",,,,,,,
in meter,,raccoon,write a line in meter including the word raccoon ,"A masked raccoon peers from the moonlit wood.
",,,,,,,
in meter,,macaw,write a line in meter including the word macaw ,"A brilliant flash of blue, the macaw soared high.
",,,,,,,
in meter,,alpaca,write a line in meter including the word alpaca ,"Upon the Andean slopes, an alpaca grazed.
",,,,,,,
in meter,,hyena,write a line in meter including the word hyena ,"The laughing hyena howled beneath the moon.
",,,,,,,
in meter,,chinchilla,write a line in meter including the word chinchilla ,"A fluffy chinchilla, soft as winter's snow.
",,,,,,,
in meter,,coyote,write a line in meter including the word coyote ,"A swift coyote streaks across the plain.
",,,,,,,
in meter,,gorilla,write a line in meter including the word gorilla ,"A mighty gorilla, king of the wood.
",,,,,,,
in meter,,kangaroo,write a line in meter including the word kangaroo ,"A bounding kangaroo leaps across the plain.
",,,,,,,
in meter,,platypus,write a line in meter including the word platypus ,"A curious platypus paddled in the stream.
",,,,,,,
in meter,,porcupine,write a line in meter including the word porcupine ,"A prickly porcupine, a rumbling sound.
",,,,,,,
in meter,,pangolin,write a line in meter including the word pangolin ,"The shy pangolin scales the ancient tree.
",,,,,,,
in meter,,ocelot,write a line in meter including the word ocelot ,"The sleek ocelot shadows the night.
",,,,,,,
in meter,,lemur,write a line in meter including the word lemur ,"A gentle lemur leaps among the trees.
",,,,,,,
in meter,,lemming,write a line in meter including the word lemming ,"A tiny lemming, scurrying to the sea.
",,,,,,,
in meter,,otter,write a line in meter including the word otter ,"The sleek brown otter dives, then reappears.
",,,,,,,
in meter,,parrot,write a line in meter including the word parrot ,"A scarlet parrot mimics words unheard.
",,,,,,,
in meter,,squirrel,write a line in meter including the word squirrel ,"The frisky squirrel leaps from bough to bough.
",,,,,,,
in meter,with rhythmic variation,bear,write a line in meter including the word bear with rhythmic variation,"The brown bear lumbered, slow and unaware.
",,,,,,,
in meter,with rhythmic variation,whale,write a line in meter including the word whale with rhythmic variation,"A mighty whale, a shadow in the pale.
",,,,,,,
in meter,with rhythmic variation,sloth,write a line in meter including the word sloth with rhythmic variation,"Slow sloth, a sun-drenched, silent, sleepy oath.
",,,,,,,
in meter,with rhythmic variation,cat,write a line in meter including the word cat with rhythmic variation,"A sleek black cat, a shadow in the night.
",,,,,,,
in meter,with rhythmic variation,dog,write a line in meter including the word dog with rhythmic variation,"My playful, bouncing, happy dog.
",,,,,,,
in meter,with rhythmic variation,giraffe,write a line in meter including the word giraffe with rhythmic variation,"A tall giraffe, with graceful, gentle stride.
",,,,,,,
in meter,with rhythmic variation,gazelle,write a line in meter including the word gazelle with rhythmic variation,"The swift gazelle leaps, light and free.
",,,,,,,
in meter,with rhythmic variation,baboon,write a line in meter including the word baboon with rhythmic variation,"A grumpy baboon, with a frown and a boon.
",,,,,,,
in meter,with rhythmic variation,raccoon,write a line in meter including the word raccoon with rhythmic variation,"A masked raccoon, sly and sleek, in the night.
",,,,,,,
in meter,with rhythmic variation,macaw,write a line in meter including the word macaw with rhythmic variation,"A scarlet macaw flashed, a vibrant spark.
",,,,,,,
in meter,with rhythmic variation,alpaca,write a line in meter including the word alpaca with rhythmic variation,"The fluffy alpaca grazed the sun-drenched lea.
",,,,,,,
in meter,with rhythmic variation,hyena,write a line in meter including the word hyena with rhythmic variation,"A laughing hyena, shadow in the night.
",,,,,,,
in meter,with rhythmic variation,chinchilla,write a line in meter including the word chinchilla with rhythmic variation,"A fluffy chinchilla, soft and gray, did leap.
",,,,,,,
in meter,with rhythmic variation,coyote,write a line in meter including the word coyote with rhythmic variation,"A swift coyote, shadow in the night.
",,,,,,,
in meter,with rhythmic variation,gorilla,write a line in meter including the word gorilla with rhythmic variation,"A mighty gorilla, pounding on his chest.
",,,,,,,
in meter,with rhythmic variation,kangaroo,write a line in meter including the word kangaroo with rhythmic variation,"A bounding kangaroo, leaps high and far.
",,,,,,,
in meter,with rhythmic variation,platypus,write a line in meter including the word platypus with rhythmic variation,"A strange platypus, paddling in the stream.
",,,,,,,
in meter,with rhythmic variation,porcupine,write a line in meter including the word porcupine with rhythmic variation,"A prickly porcupine, all quills a-quiver.
",,,,,,,
in meter,with rhythmic variation,pangolin,write a line in meter including the word pangolin with rhythmic variation,"A shy pangolin, scales softly gleam.
",,,,,,,
in meter,with rhythmic variation,ocelot,write a line in meter including the word ocelot with rhythmic variation,"A sleek ocelot, shadow in the night.
",,,,,,,
in meter,with rhythmic variation,lemur,write a line in meter including the word lemur with rhythmic variation,"A slow, sad lemur sighs in the dim wood.
",,,,,,,
in meter,with rhythmic variation,lemming,write a line in meter including the word lemming with rhythmic variation,"The tiny lemming, blindly to the sea.
",,,,,,,
in meter,with rhythmic variation,otter,write a line in meter including the word otter with rhythmic variation,"A sleek brown otter, diving deep and free.
",,,,,,,
in meter,with rhythmic variation,parrot,write a line in meter including the word parrot with rhythmic variation,"A scarlet parrot squawked a raucous note.
",,,,,,,
in meter,with rhythmic variation,squirrel,write a line in meter including the word squirrel with rhythmic variation,"A frisky squirrel, leaps and darts and whirls.
",,,,,,,
in meter,with a trochaic inversion,bear,write a line in meter including the word bear with a trochaic inversion,"Bear down, my heart, though sorrows may appear.
",,,,,,,
in meter,with a trochaic inversion,whale,write a line in meter including the word whale with a trochaic inversion,"Whale, in the deep, a shadow did sail.
",,,,,,,
in meter,with a trochaic inversion,sloth,write a line in meter including the word sloth with a trochaic inversion,"Slothful creature, slow and low.
",,,,,,,
in meter,with a trochaic inversion,cat,write a line in meter including the word cat with a trochaic inversion,"Cat sat upon the mat.
",,,,,,,
in meter,with a trochaic inversion,dog,write a line in meter including the word dog with a trochaic inversion,"Dog's bark, a sudden, sharp alarm!
",,,,,,,
in meter,with a trochaic inversion,giraffe,write a line in meter including the word giraffe with a trochaic inversion,"Giraffe, a creature of such gentle grace,
",,,,,,,
in meter,with a trochaic inversion,gazelle,write a line in meter including the word gazelle with a trochaic inversion,"Gazelle swift, the desert wind did blow.
",,,,,,,
in meter,with a trochaic inversion,baboon,write a line in meter including the word baboon with a trochaic inversion,"Baboon, a hairy, grumpy fellow.
",,,,,,,
in meter,with a trochaic inversion,raccoon,write a line in meter including the word raccoon with a trochaic inversion,"Raccoon swift, across the moonlit lawn.
",,,,,,,
in meter,with a trochaic inversion,macaw,write a line in meter including the word macaw with a trochaic inversion,"Macaw bright, a flash of rainbow hue.
",,,,,,,
in meter,with a trochaic inversion,alpaca,write a line in meter including the word alpaca with a trochaic inversion,"Alpaca soft, the fleece did flow.
",,,,,,,
in meter,with a trochaic inversion,hyena,write a line in meter including the word hyena with a trochaic inversion,"Hyena laughed, a sound of chilling glee.
",,,,,,,
in meter,with a trochaic inversion,chinchilla,write a line in meter including the word chinchilla with a trochaic inversion,"Chinchilla soft, a cloud of gentle grey.
",,,,,,,
in meter,with a trochaic inversion,coyote,write a line in meter including the word coyote with a trochaic inversion,"Coyote swift, the desert wind did blow.
",,,,,,,
in meter,with a trochaic inversion,gorilla,write a line in meter including the word gorilla with a trochaic inversion,"Gorilla strong, he beats his chest with might.
",,,,,,,
in meter,with a trochaic inversion,kangaroo,write a line in meter including the word kangaroo with a trochaic inversion,"Kangaroo leaps across the plain.
",,,,,,,
in meter,with a trochaic inversion,platypus,write a line in meter including the word platypus with a trochaic inversion,"Platypus strange, a creature of the stream,
",,,,,,,
in meter,with a trochaic inversion,porcupine,write a line in meter including the word porcupine with a trochaic inversion,"Porcupine quills, a bristling, sharp defense.
",,,,,,,
in meter,with a trochaic inversion,pangolin,write a line in meter including the word pangolin with a trochaic inversion,"Pangolin scales, a shimmering sight.
",,,,,,,
in meter,with a trochaic inversion,ocelot,write a line in meter including the word ocelot with a trochaic inversion,"Ocelot sleek, the jungle's shadowed grace.
",,,,,,,
in meter,with a trochaic inversion,lemur,write a line in meter including the word lemur with a trochaic inversion,"Lemur sleek, through branches high he flew.
",,,,,,,
in meter,with a trochaic inversion,lemming,write a line in meter including the word lemming with a trochaic inversion,"Lemming, a frantic, suicidal dash,
",,,,,,,
in meter,with a trochaic inversion,otter,write a line in meter including the word otter with a trochaic inversion,"Otter sleek, the river's gleam.
",,,,,,,
in meter,with a trochaic inversion,parrot,write a line in meter including the word parrot with a trochaic inversion,"Parrot, a squawk, then silence fell.
",,,,,,,
in meter,with a trochaic inversion,squirrel,write a line in meter including the word squirrel with a trochaic inversion,"Squirrel quick, the nut he stole.
",,,,,,,
in meter,with a trochaic inversion after a caesura,bear,write a line in meter including the word bear with a trochaic inversion after a caesura,"The brown bear, //  fierce and bold,  did dare.
",,,,,,,
in meter,with a trochaic inversion after a caesura,whale,write a line in meter including the word whale with a trochaic inversion after a caesura,"The ocean's giant, || whale did breach the wave.
",,,,,,,
in meter,with a trochaic inversion after a caesura,sloth,write a line in meter including the word sloth with a trochaic inversion after a caesura,"Slow, // the sloth climbs, a languid, sun-warmed grace.
",,,,,,,
in meter,with a trochaic inversion after a caesura,cat,write a line in meter including the word cat with a trochaic inversion after a caesura,"The sleek black cat ||  sat, eyes of jade.
",,,,,,,
in meter,with a trochaic inversion after a caesura,dog,write a line in meter including the word dog with a trochaic inversion after a caesura,"My loyal, faithful || dog, my heart's true friend.
",,,,,,,
in meter,with a trochaic inversion after a caesura,giraffe,write a line in meter including the word giraffe with a trochaic inversion after a caesura,"Tall, // giraffe of spotted grace, did stand.
",,,,,,,
in meter,with a trochaic inversion after a caesura,gazelle,write a line in meter including the word gazelle with a trochaic inversion after a caesura,"Across the plain, a || gazelle did leap.
",,,,,,,
in meter,with a trochaic inversion after a caesura,baboon,write a line in meter including the word baboon with a trochaic inversion after a caesura,"|| Baboon, a || hairy, ||  grumbling beast,
",,,,,,,
in meter,with a trochaic inversion after a caesura,raccoon,write a line in meter including the word raccoon with a trochaic inversion after a caesura,"A // raccoon, sly and gray,  crept through the night.
",,,,,,,
in meter,with a trochaic inversion after a caesura,macaw,write a line in meter including the word macaw with a trochaic inversion after a caesura,"Bright bird, // a scarlet macaw flew high.
",,,,,,,
in meter,with a trochaic inversion after a caesura,alpaca,write a line in meter including the word alpaca with a trochaic inversion after a caesura,"The fleece, || soft alpaca,  spun for winter's keep.
",,,,,,,
in meter,with a trochaic inversion after a caesura,hyena,write a line in meter including the word hyena with a trochaic inversion after a caesura,"Laughing, || hyena,  fierce and gaunt and grim,
",,,,,,,
in meter,with a trochaic inversion after a caesura,chinchilla,write a line in meter including the word chinchilla with a trochaic inversion after a caesura,"Soft // chinchilla, fur so deep and white.
",,,,,,,
in meter,with a trochaic inversion after a caesura,coyote,write a line in meter including the word coyote with a trochaic inversion after a caesura,"Swift, // coyote,  shadow on the plain.
",,,,,,,
in meter,with a trochaic inversion after a caesura,gorilla,write a line in meter including the word gorilla with a trochaic inversion after a caesura,"The mighty || gorilla, strong and grim,
",,,,,,,
in meter,with a trochaic inversion after a caesura,kangaroo,write a line in meter including the word kangaroo with a trochaic inversion after a caesura,"Down  // under the shade sleeps a kangaroo.
",,,,,,,
in meter,with a trochaic inversion after a caesura,platypus,write a line in meter including the word platypus with a trochaic inversion after a caesura,"The || platypus, creature of myth, so strange.
",,,,,,,
in meter,with a trochaic inversion after a caesura,porcupine,write a line in meter including the word porcupine with a trochaic inversion after a caesura,"The prickly | porcupine, so fierce and bold,
",,,,,,,
in meter,with a trochaic inversion after a caesura,pangolin,write a line in meter including the word pangolin with a trochaic inversion after a caesura,"The shy pangolin, //  a scaly sprite, did flee.
",,,,,,,
in meter,with a trochaic inversion after a caesura,ocelot,write a line in meter including the word ocelot with a trochaic inversion after a caesura,"In shadows deep, || the ocelot did creep.
",,,,,,,
in meter,with a trochaic inversion after a caesura,lemur,write a line in meter including the word lemur with a trochaic inversion after a caesura,"Slow, || lemur,  graceful in the trees, he swings.
",,,,,,,
in meter,with a trochaic inversion after a caesura,lemming,write a line in meter including the word lemming with a trochaic inversion after a caesura,"Brave, || lemming, leaps to icy death below.
",,,,,,,
in meter,with a trochaic inversion after a caesura,otter,write a line in meter including the word otter with a trochaic inversion after a caesura,"Swiftly he swam, // the playful otter, free.
",,,,,,,
in meter,with a trochaic inversion after a caesura,parrot,write a line in meter including the word parrot with a trochaic inversion after a caesura,"Green parrot, // a flash of bright plumage, then gone.
",,,,,,,
in meter,with a trochaic inversion after a caesura,squirrel,write a line in meter including the word squirrel with a trochaic inversion after a caesura,"The quick brown || squirrel leaped high in the oak.
",,,,,,,
in meter,with an inverted metrical foot,bear,write a line in meter including the word bear with an inverted metrical foot,"The bear, a lumbering beast, did softly stare.
",,,,,,,
in meter,with an inverted metrical foot,whale,write a line in meter including the word whale with an inverted metrical foot,"The whale, a mountain, breached the ocean's gale.
",,,,,,,
in meter,with an inverted metrical foot,sloth,write a line in meter including the word sloth with an inverted metrical foot,"With slothful ease, the sun dips low and red.
",,,,,,,
in meter,with an inverted metrical foot,cat,write a line in meter including the word cat with an inverted metrical foot,"The sleek black CAT, a shadow, swift and sly,
",,,,,,,
in meter,with an inverted metrical foot,dog,write a line in meter including the word dog with an inverted metrical foot,"The playful dog, a happy, bounding hog.
",,,,,,,
in meter,with an inverted metrical foot,giraffe,write a line in meter including the word giraffe with an inverted metrical foot,"The tall giraffe, a gentle, graceful shape,
",,,,,,,
in meter,with an inverted metrical foot,gazelle,write a line in meter including the word gazelle with an inverted metrical foot,"Across the plain, a gazelle swift ran.
",,,,,,,
in meter,with an inverted metrical foot,baboon,write a line in meter including the word baboon with an inverted metrical foot,"A baboon,  xánthus, leaped and screamed and spun.
",,,,,,,
in meter,with an inverted metrical foot,raccoon,write a line in meter including the word raccoon with an inverted metrical foot,"The sly raccoon, /  a bandit in the night,
",,,,,,,
in meter,with an inverted metrical foot,macaw,write a line in meter including the word macaw with an inverted metrical foot,"A brilliant macaw, /  swiftly did it fly.
",,,,,,,
in meter,with an inverted metrical foot,alpaca,write a line in meter including the word alpaca with an inverted metrical foot,"The fluffy alpaca, a gentle, soft beast.
",,,,,,,
in meter,with an inverted metrical foot,hyena,write a line in meter including the word hyena with an inverted metrical foot,"Laughing, the hyena  ran,  swift and sly.
",,,,,,,
in meter,with an inverted metrical foot,chinchilla,write a line in meter including the word chinchilla with an inverted metrical foot,"A chinchilla soft, then shadow, sleek and gray.
",,,,,,,
in meter,with an inverted metrical foot,coyote,write a line in meter including the word coyote with an inverted metrical foot,"Through canyons deep, the coyote sly did creep.
",,,,,,,
in meter,with an inverted metrical foot,gorilla,write a line in meter including the word gorilla with an inverted metrical foot,"A gorilla strong, and darkly, fearsomely, he strode.
",,,,,,,
in meter,with an inverted metrical foot,kangaroo,write a line in meter including the word kangaroo with an inverted metrical foot,"A kangaroo, so strong and free, did leap.
",,,,,,,
in meter,with an inverted metrical foot,platypus,write a line in meter including the word platypus with an inverted metrical foot,"A curious platypus, oddly so, did swim.
",,,,,,,
in meter,with an inverted metrical foot,porcupine,write a line in meter including the word porcupine with an inverted metrical foot,"The porcupine, a quillèd, bristling fright,
",,,,,,,
in meter,with an inverted metrical foot,pangolin,write a line in meter including the word pangolin with an inverted metrical foot,"The pangolin, shy, scales a moonlit tree.
",,,,,,,
in meter,with an inverted metrical foot,ocelot,write a line in meter including the word ocelot with an inverted metrical foot,"The sleek ocelot, a shadow in the night,
",,,,,,,
in meter,with an inverted metrical foot,lemur,write a line in meter including the word lemur with an inverted metrical foot,"A lemur, small, did softly creep and climb.
",,,,,,,
in meter,with an inverted metrical foot,lemming,write a line in meter including the word lemming with an inverted metrical foot,"Down to the sea went the lemming, brave and bold.
",,,,,,,
in meter,with an inverted metrical foot,otter,write a line in meter including the word otter with an inverted metrical foot,"Swift otter, sleek and shy, did swim.
",,,,,,,
in meter,with an inverted metrical foot,parrot,write a line in meter including the word parrot with an inverted metrical foot,"A parrot green,  x  /  x  /  x  /
",,,,,,,
in meter,with an inverted metrical foot,squirrel,write a line in meter including the word squirrel with an inverted metrical foot,"The quick brown squirrel, a flash of furry grace,
",,,,,,,
