meter,variation,seed_word,prompt
in meter,with a trochaic inversion,lemur,write a line in meter including the word lemur with a trochaic inversion
in meter,with a trochaic inversion,lemming,write a line in meter including the word lemming with a trochaic inversion
in meter,with a trochaic inversion,otter,write a line in meter including the word otter with a trochaic inversion
in meter,with a trochaic inversion,parrot,write a line in meter including the word parrot with a trochaic inversion
in meter,with a trochaic inversion,squirrel,write a line in meter including the word squirrel with a trochaic inversion
in meter,with a trochaic inversion after a caesura,bear,write a line in meter including the word bear with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,whale,write a line in meter including the word whale with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,sloth,write a line in meter including the word sloth with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,cat,write a line in meter including the word cat with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,dog,write a line in meter including the word dog with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,giraffe,write a line in meter including the word giraffe with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,gazelle,write a line in meter including the word gazelle with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,baboon,write a line in meter including the word baboon with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,raccoon,write a line in meter including the word raccoon with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,macaw,write a line in meter including the word macaw with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,alpaca,write a line in meter including the word alpaca with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,hyena,write a line in meter including the word hyena with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,chinchilla,write a line in meter including the word chinchilla with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,coyote,write a line in meter including the word coyote with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,gorilla,write a line in meter including the word gorilla with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,kangaroo,write a line in meter including the word kangaroo with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,platypus,write a line in meter including the word platypus with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,porcupine,write a line in meter including the word porcupine with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,pangolin,write a line in meter including the word pangolin with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,ocelot,write a line in meter including the word ocelot with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,lemur,write a line in meter including the word lemur with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,lemming,write a line in meter including the word lemming with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,otter,write a line in meter including the word otter with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,parrot,write a line in meter including the word parrot with a trochaic inversion after a caesura
in meter,with a trochaic inversion after a caesura,squirrel,write a line in meter including the word squirrel with a trochaic inversion after a caesura
in meter,with an inverted metrical foot,bear,write a line in meter including the word bear with an inverted metrical foot
in meter,with an inverted metrical foot,whale,write a line in meter including the word whale with an inverted metrical foot
in meter,with an inverted metrical foot,sloth,write a line in meter including the word sloth with an inverted metrical foot
in meter,with an inverted metrical foot,cat,write a line in meter including the word cat with an inverted metrical foot
in meter,with an inverted metrical foot,dog,write a line in meter including the word dog with an inverted metrical foot
in meter,with an inverted metrical foot,giraffe,write a line in meter including the word giraffe with an inverted metrical foot
in meter,with an inverted metrical foot,gazelle,write a line in meter including the word gazelle with an inverted metrical foot
in meter,with an inverted metrical foot,baboon,write a line in meter including the word baboon with an inverted metrical foot
in meter,with an inverted metrical foot,raccoon,write a line in meter including the word raccoon with an inverted metrical foot
in meter,with an inverted metrical foot,macaw,write a line in meter including the word macaw with an inverted metrical foot
in meter,with an inverted metrical foot,alpaca,write a line in meter including the word alpaca with an inverted metrical foot
in meter,with an inverted metrical foot,hyena,write a line in meter including the word hyena with an inverted metrical foot
in meter,with an inverted metrical foot,chinchilla,write a line in meter including the word chinchilla with an inverted metrical foot
in meter,with an inverted metrical foot,coyote,write a line in meter including the word coyote with an inverted metrical foot
in meter,with an inverted metrical foot,gorilla,write a line in meter including the word gorilla with an inverted metrical foot
in meter,with an inverted metrical foot,kangaroo,write a line in meter including the word kangaroo with an inverted metrical foot
in meter,with an inverted metrical foot,platypus,write a line in meter including the word platypus with an inverted metrical foot
in meter,with an inverted metrical foot,porcupine,write a line in meter including the word porcupine with an inverted metrical foot
in meter,with an inverted metrical foot,pangolin,write a line in meter including the word pangolin with an inverted metrical foot
in meter,with an inverted metrical foot,ocelot,write a line in meter including the word ocelot with an inverted metrical foot
in meter,with an inverted metrical foot,lemur,write a line in meter including the word lemur with an inverted metrical foot
in meter,with an inverted metrical foot,lemming,write a line in meter including the word lemming with an inverted metrical foot
in meter,with an inverted metrical foot,otter,write a line in meter including the word otter with an inverted metrical foot
in meter,with an inverted metrical foot,parrot,write a line in meter including the word parrot with an inverted metrical foot
in meter,with an inverted metrical foot,squirrel,write a line in meter including the word squirrel with an inverted metrical foot
