,meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
106,in iambic pentameter,with an inverted metrical foot,cat,write a line in iambic pentameter including the word cat with an inverted metrical foot,"Upon the windowsill, the cat does rest.","Upon the windowsill, the cat does rest.",u PON the WIN dow SILL the CAT does REST,-+-+-+-+-+,-+-+-+-+-+,0,0,1
107,in iambic pentameter,with an inverted metrical foot,dog,write a line in iambic pentameter including the word dog with an inverted metrical foot,"Upon the ground, the dog did softly tread.","Upon the ground, the dog did softly tread.",u PON the GROUND the DOG did SOF tly TREAD,-+-+-+-+-+,-+-+-+-+-+,0,0,1
108,in iambic pentameter,with an inverted metrical foot,giraffe,write a line in iambic pentameter including the word giraffe with an inverted metrical foot,A giraffe strides through fields in graceful sway.,A giraffe strides through fields in graceful sway.,a.gi RAFFE.STRIDES through FIELDS in GRA ceful SWAY,--++-+-+-+,--++-+-+-+,2.0,2,4
109,in iambic pentameter,with an inverted metrical foot,gazelle,write a line in iambic pentameter including the word gazelle with an inverted metrical foot,"Graceful gazelle, through verdant fields you leap.","Graceful gazelle, through verdant fields you leap.",GRA ceful.ga ZELLE through VER dant FIELDS you LEAP,+--+-+-+-+,+--+-+-+-+,1.0,1,5
110,in iambic pentameter,with an inverted metrical foot,baboon,write a line in iambic pentameter including the word baboon with an inverted metrical foot,"Upon the branch, the baboon rests at dawn.","Upon the branch, the baboon rests at dawn.",u PON the BRANCH THE ba BOON.RESTS at DAWN,-+-++-++-+,-+-+--++-+,2.0,2,4
111,in iambic pentameter,with an inverted metrical foot,raccoon,write a line in iambic pentameter including the word raccoon with an inverted metrical foot,"Beneath the moon, there lurks a sly raccoon.","Beneath the moon, there lurks a sly raccoon.",be NEATH the MOON there LURKS a SLY rac COON,-+-+-+-+-+,-+-+-+-+-+,0,0,1
112,in iambic pentameter,with an inverted metrical foot,macaw,write a line in iambic pentameter including the word macaw with an inverted metrical foot,A striking macaw soars through skies of blue.,A striking macaw soars through skies of blue.,a STRI king.ma CAW.SOARS through SKIES of BLUE,-+--++-+-+,-+--++-+-+,2.0,2,6
113,in iambic pentameter,with an inverted metrical foot,alpaca,write a line in iambic pentameter including the word alpaca with an inverted metrical foot,An alpaca stands still beneath the soft light.,An alpaca stands still beneath the soft light.,an.al PA ca STANDS.STILL be NEATH the SOFT light,--+-++-+-+-,--+-++-+-++,3.0,3,5
114,in iambic pentameter,with an inverted metrical foot,hyena,write a line in iambic pentameter including the word hyena with an inverted metrical foot,A lurking hyena stalks its prey by night.,A lurking hyena stalks its prey by night.,a LUR king.hye N a STALKS its PREY by NIGHT,-+--+-+-+-+,-+--+-+-+-+,1.0,1,2
115,in iambic pentameter,with an inverted metrical foot,chinchilla,write a line in iambic pentameter including the word chinchilla with an inverted metrical foot,A playful chinchilla leaps through the soft air.,A playful chinchilla leaps through the soft air.,a PLAY ful.chinc HIL la LEAPS through.the SOFT air,-+--+-+--+-,-+--+-+--++,2.0,2,7
116,in iambic pentameter,with an inverted metrical foot,coyote,write a line in iambic pentameter including the word coyote with an inverted metrical foot,"Coyote pauses, wild beneath the moon.","Coyote pauses, wild beneath the moon.",coy O te PAU ses WILD be NEATH the MOON,-+-+-+-+-+,-+-+-+-+-+,0,0,2
117,in iambic pentameter,with an inverted metrical foot,gorilla,write a line in iambic pentameter including the word gorilla with an inverted metrical foot,"Upon the hill, a mighty gorilla stands.","Upon the hill, a mighty gorilla stands.",u PON the HILL a MIGH ty.go RIL la STANDS,-+-+-+--+-+,-+-+-+--+-+,1.0,1,4
118,in iambic pentameter,with an inverted metrical foot,kangaroo,write a line in iambic pentameter including the word kangaroo with an inverted metrical foot,"To watch the kangaroo leap skyward, a thrill.","To watch the kangaroo leap skyward, a thrill.",to WATCH the KAN ga ROO leap SKY ward a THRILL,-+-+-+-+--+,-+-+-+++--+,1.0,1,1
119,in iambic pentameter,with an inverted metrical foot,platypus,write a line in iambic pentameter including the word platypus with an inverted metrical foot,A strange platypus swims beneath the moon's soft glow.,A strange platypus swims beneath the moon's soft glow.,a STRANGE.PLA ty PUS.SWIMS be NEATH the MOON'S soft GLOW,-++-++-+-+-+,-++-++-+-+++,3.0,3,7
120,in iambic pentameter,with an inverted metrical foot,porcupine,write a line in iambic pentameter including the word porcupine with an inverted metrical foot,"A porcupine, its quills like daggers, stands.","A porcupine, its quills like daggers, stands.",a POR cu PINE its QUILLS like DAG gers,-+-+-+-+-,-+-+-+-+-,0,0,1
121,in iambic pentameter,with an inverted metrical foot,pangolin,write a line in iambic pentameter including the word pangolin with an inverted metrical foot,A pangolin beneath the moonlight creeps.,A pangolin beneath the moonlight creeps.,a PAN go LIN be NEATH the MOON light CREEPS,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
122,in iambic pentameter,with an inverted metrical foot,pangolin,write a line in iambic pentameter including the word pangolin with an inverted metrical foot,A pangolin beneath the moonlight creeps.,A pangolin beneath the moonlight creeps.,a PAN go LIN be NEATH the MOON light CREEPS,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
123,in iambic pentameter,with an inverted metrical foot,ocelot,write a line in iambic pentameter including the word ocelot with an inverted metrical foot,An ocelot beneath the moonlight roams.,An ocelot beneath the moonlight roams.,an O ce LOT be NEATH the MOON light ROAMS,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
124,in iambic pentameter,with an inverted metrical foot,lemur,write a line in iambic pentameter including the word lemur with an inverted metrical foot,"Upon the branch, the lemur sits in wait.","Upon the branch, the lemur sits in wait.",u PON the BRANCH the LE mur SITS in WAIT,-+-+-+-+-+,-+-+-+-+-+,0,0,1
125,in iambic pentameter,with an inverted metrical foot,lemming,write a line in iambic pentameter including the word lemming with an inverted metrical foot,"A lemming leaps, defying cliffs' command.","A lemming leaps, defying cliffs' command.",a LEM ming LEAPS de FY ing CLIFFS' com MAND,-+-+-+-+-+,-+-+-+-+-+,0,0,1
127,in iambic pentameter,with an inverted metrical foot,parrot,write a line in iambic pentameter including the word parrot with an inverted metrical foot,"A parrot sings, its feathers bright and seen.","A parrot sings, its feathers bright and seen.",a PAR rot SINGS its FEAT hers BRIGHT and SEEN,-+-+-+-+-+,-+-+-+-+-+,0,0,1
128,in iambic pentameter,with an inverted metrical foot,squirrel,write a line in iambic pentameter including the word squirrel with an inverted metrical foot,A squirrel leapt from branch to ground in haste.,A squirrel leapt from branch to ground in haste.,a SQUIR rel LEAPT from BRANCH to GROUND in HASTE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
129,of blank verse,none,bear,write a line of blank verse including the word bear ,The forest calls where mighty black bears roam.,The forest calls where mighty black bears roam.,the FO rest CALLS where MIGH ty BLACK bears ROAM,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
130,of blank verse,none,whale,write a line of blank verse including the word whale ,The mighty whale beneath the waves ascends.,The mighty whale beneath the waves ascends.,the MIGH ty WHALE be NEATH the WAVES as CENDS,-+-+-+-+-+,-+-+-+-+-+,0,0,1
131,of blank verse,none,sloth,write a line of blank verse including the word sloth ,The sloth ascends the tree with measured grace.,The sloth ascends the tree with measured grace.,the SLOTH as CENDS the TREE with MEA sured GRACE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
132,of blank verse,none,cat,write a line of blank verse including the word cat ,The moonlit cat moves softly through the night.,The moonlit cat moves softly through the night.,the MOON lit CAT moves SOF tly THROUGH the NIGHT,-+-+-+-+-+,-+++++---+,3.0,3,4
133,of blank verse,none,dog,write a line of blank verse including the word dog ,The faithful dog awaits beneath the moon's soft glow.,The faithful dog awaits beneath the moon's soft glow.,the FAIT hful DOG a WAITS be NEATH the MOON'S soft GLOW,-+-+-+-+-+-+,-+-+-+-+-+++,1.0,1,1
134,of blank verse,none,giraffe,write a line of blank verse including the word giraffe ,The graceful giraffe strides gently through the trees.,The graceful giraffe strides gently through the trees.,the GRA ceful.gi RAFFE strides GEN tly THROUGH the TREES,-+--+-+-+-+,-+--+++---+,3.0,3,4
135,of blank verse,none,gazelle,write a line of blank verse including the word gazelle ,The nimble gazelle leaps through the sunlit field.,The nimble gazelle leaps through the sunlit field.,the NIM ble.ga ZELLE.LEAPS through.the SUN lit FIELD,-+--++--+-+,-+--++--+++,3.0,3,6
136,of blank verse,none,baboon,write a line of blank verse including the word baboon ,The sunlit baboon climbs trees with quiet grace.,The sunlit baboon climbs trees with quiet grace.,the SUN.LIT ba BOON climbs TREES with QUI et GRACE,-++-+-+-+-+,-++-+++-+-+,2.0,2,4
137,of blank verse,none,raccoon,write a line of blank verse including the word raccoon ,A shadowed raccoon slips through the moonlit trees.,A shadowed raccoon slips through the moonlit trees.,a SHA dowed.rac COON.SLIPS through.the MOON lit TREES,-+--++--+-+,-+--++--+++,3.0,3,4
138,of blank verse,none,macaw,write a line of blank verse including the word macaw ,A scarlet macaw swoops low through dense green trees.,A scarlet macaw swoops low through dense green trees.,a SCAR let.ma CAW swoops LOW through DENSE green TREES,-+--+-+-+-+,-+--+++-+++,3.0,3,4
139,of blank verse,none,alpaca,write a line of blank verse including the word alpaca ,The gentle alpaca roams through fields at dusk.,The gentle alpaca roams through fields at dusk.,the GEN tle.al PA ca ROAMS through FIELDS at DUSK,-+--+-+-+-+,-+--+-+-+-+,1.0,1,4
140,of blank verse,none,hyena,write a line of blank verse including the word hyena ,The moonlit plains conceal the prowling hyena.,The moonlit plains conceal the prowling hyena.,the MOON lit PLAINS con CEAL the PROW ling.hye N a,-+-+-+-+--+-,-+++-+-+--+-,2.0,2,4
141,of blank verse,none,chinchilla,write a line of blank verse including the word chinchilla ,"A chinchilla darts through shadows, soft and sleek.","A chinchilla darts through shadows, soft and sleek.",a.chinc HIL la DARTS through SHA.DOWS SOFT and SLEEK,--+-+-+++-+,--+-+-+++-+,1.0,1,2
142,of blank verse,none,coyote,write a line of blank verse including the word coyote ,The coyote howls beneath the silver moon.,The coyote howls beneath the silver moon.,the COY ote HOWLS be NEATH the SIL ver MOON,-+-+-+-+-+,-+-+-+-+-+,0,0,1
143,of blank verse,none,gorilla,write a line of blank verse including the word gorilla ,"The shadowed forest stirs, the lone gorilla moves.","The shadowed forest stirs, the lone gorilla moves.",the SHA dowed FO rest STIRS the LONE go RIL la MOVES,-+-+-+-+-+-+,-+-+-+-+-+-+,0,0,1
144,of blank verse,none,kangaroo,write a line of blank verse including the word kangaroo ,The kangaroo leaps high beneath the moon.,The kangaroo leaps high beneath the moon.,the KAN ga ROO leaps HIGH be NEATH the MOON,-+-+-+-+-+,-+-+++-+-+,1.0,1,1
145,of blank verse,none,platypus,write a line of blank verse including the word platypus ,The shy brown platypus glides through the cool stream.,The shy brown platypus glides through the cool stream.,the SHY brown PLA ty PUS.GLIDES through.the COOL stream,-+-+-++--+-,-+++-++--++,3.0,3,4
146,of blank verse,none,porcupine,write a line of blank verse including the word porcupine ,The porcupine moves slow through shadowed pines.,The porcupine moves slow through shadowed pines.,the POR cu PINE moves SLOW through SHA dowed PINES,-+-+-+-+-+,-+-+++-+-+,1.0,1,1
147,of blank verse,none,pangolin,write a line of blank verse including the word pangolin ,The pangolin moves softly through the night.,The pangolin moves softly through the night.,the PAN go LIN moves SOF tly THROUGH the NIGHT,-+-+-+-+-+,-+-+++---+,2.0,2,1
148,of blank verse,none,ocelot,write a line of blank verse including the word ocelot ,The ocelot moves silent through the trees.,The ocelot moves silent through the trees.,the O ce LOT moves SI lent THROUGH the TREES,-+-+-+-+-+,-+-+++---+,2.0,2,1
149,of blank verse,none,lemur,write a line of blank verse including the word lemur ,The watchful lemur leaps through moonlit trees.,The watchful lemur leaps through moonlit trees.,the WATC hful LE mur LEAPS through MOON lit TREES,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
150,of blank verse,none,lemming,write a line of blank verse including the word lemming ,The lemming teeters on the edge of fate.,The lemming teeters on the edge of fate.,the LEM ming TEE ters ON the EDGE of FATE,-+-+-+-+-+,-+-+---+-+,1.0,1,2
151,of blank verse,none,otter,write a line of blank verse including the word otter ,An otter glides through reeds with supple grace.,An otter glides through reeds with supple grace.,an OT ter GLIDES through REEDS with SUP ple GRACE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
152,of blank verse,none,parrot,write a line of blank verse including the word parrot ,A vibrant parrot perched upon the old oak tree.,A vibrant parrot perched upon the old oak tree.,a VI brant PAR rot PERCHED u PON the OLD oak TREE,-+-+-+-+-+-+,-+-+-+-+-+++,1.0,1,1
153,of blank verse,none,squirrel,write a line of blank verse including the word squirrel ,The squirrel darts across the forest floor.,The squirrel darts across the forest floor.,the SQUIR rel DARTS a CROSS the FO rest FLOOR,-+-+-+-+-+,-+-+-+-+-+,0,0,1
154,of blank verse,with rhythmic variation,bear,write a line of blank verse including the word bear with rhythmic variation,"The burdened woods bear silence, deep and still.","The burdened woods bear silence, deep and still.",the BUR dened WOODS bear SI lence DEEP and STILL,-+-+-+-+-+,-+-+++-+-+,1.0,1,1
155,of blank verse,with rhythmic variation,whale,write a line of blank verse including the word whale with rhythmic variation,"Beneath the waves, the mighty whale ascends.","Beneath the waves, the mighty whale ascends.",be NEATH the WAVES the MIGH ty WHALE as CENDS,-+-+-+-+-+,-+-+-+-+-+,0,0,1
156,of blank verse,with rhythmic variation,sloth,write a line of blank verse including the word sloth with rhythmic variation,The sloth moves slowly through the dappled shade.,The sloth moves slowly through the dappled shade.,the SLOTH moves SLOW ly THROUGH the DAP pled SHADE,-+-+-+-+-+,-+++---+-+,2.0,2,1
157,of blank verse,with rhythmic variation,cat,write a line of blank verse including the word cat with rhythmic variation,A stealthy cat leaps through the shadowed night.,A stealthy cat leaps through the shadowed night.,a STEALT hy CAT.LEAPS through.the SHA dowed NIGHT,-+-++--+-+,-+-++--+-+,1.0,1,2
158,of blank verse,with rhythmic variation,dog,write a line of blank verse including the word dog with rhythmic variation,A restless dog leaps up beneath the pale moon.,A restless dog leaps up beneath the pale moon.,a RES tless DOG leaps UP be NEATH the PALE moon,-+-+-+-+-+-,-+-++--+-++,3.0,3,5
159,of blank verse,with rhythmic variation,giraffe,write a line of blank verse including the word giraffe with rhythmic variation,A gentle giraffe strides through the swaying trees.,A gentle giraffe strides through the swaying trees.,a GEN tle.gi RAFFE.STRIDES through.the SWAY ing TREES,-+--++--+-+,-+--++--+-+,2.0,2,6
160,of blank verse,with rhythmic variation,gazelle,write a line of blank verse including the word gazelle with rhythmic variation,The swift gazelle leaps gracefully through the dusk.,The swift gazelle leaps gracefully through the dusk.,the SWIFT ga ZELLE leaps GRA ce FULLY through.the DUSK,-+-+-+-+--+,-+-+++----+,2.0,2,1
161,of blank verse,with rhythmic variation,baboon,write a line of blank verse including the word baboon with rhythmic variation,"The baboon leaps through shadows, wild and free.","The baboon leaps through shadows, wild and free.",the.ba BOON.LEAPS through SHA.DOWS WILD and FREE,--++-+++-+,--++-+++-+,2.0,2,4
162,of blank verse,with rhythmic variation,raccoon,write a line of blank verse including the word raccoon with rhythmic variation,The cunning raccoon prowls beneath the silver moon.,The cunning raccoon prowls beneath the silver moon.,the CUN ning.rac COON.PROWLS be NEATH the SIL ver MOON,-+--++-+-+-+,-+--++-+-+-+,2.0,2,4
163,of blank verse,with rhythmic variation,macaw,write a line of blank verse including the word macaw with rhythmic variation,The vibrant macaw calls out through tangled boughs.,The vibrant macaw calls out through tangled boughs.,the VI brant.ma CAW.CALLS out.through TAN gled BOUGHS,-+--++--+-+,-+--++--+-+,2.0,2,6
164,of blank verse,with rhythmic variation,alpaca,write a line of blank verse including the word alpaca with rhythmic variation,The soft alpaca treads through fields of green.,The soft alpaca treads through fields of green.,the SOFT al PA ca TREADS through FIELDS of GREEN,-+-+-+-+-+,-+-+-+-+-+,0,0,1
165,of blank verse,with rhythmic variation,hyena,write a line of blank verse including the word hyena with rhythmic variation,"The shadowed hyena prowls, its laughter shifts.","The shadowed hyena prowls, its laughter shifts.",the SHA dowed.hye N a PROWLS its LAUGH ter SHIFTS,-+--+-+-+-+,-+--+-+-+-+,1.0,1,2
166,of blank verse,with rhythmic variation,chinchilla,write a line of blank verse including the word chinchilla with rhythmic variation,"A chinchilla darts through shadows, soft paws mute.","A chinchilla darts through shadows, soft paws mute.",a.chinc HIL la DARTS through SHA.DOWS SOFT paws MUTE,--+-+-+++-+,--+-+-+++++,2.0,2,2
167,of blank verse,with rhythmic variation,coyote,write a line of blank verse including the word coyote with rhythmic variation,"The coyote calls, its cry a wavering chord.","The coyote calls, its cry a wavering chord.",the COY ote CALLS its CRY a WA ve.ring CHORD,-+-+-+-+--+,-+-+-+-+--+,1.0,1,3
168,of blank verse,with rhythmic variation,gorilla,write a line of blank verse including the word gorilla with rhythmic variation,The silent gorilla moves through shadowed night.,The silent gorilla moves through shadowed night.,the SI lent.go RIL la MOVES through SHA dowed NIGHT,-+--+-+-+-+,-+--+-+-+-+,1.0,1,4
169,of blank verse,with rhythmic variation,kangaroo,write a line of blank verse including the word kangaroo with rhythmic variation,The bounding kangaroo leaps through the vast expanse.,The bounding kangaroo leaps through the vast expanse.,the BOUN ding KAN ga ROO.LEAPS through.the VAST ex PANSE,-+-+-++--+-+,-+-+-++--+-+,1.0,1,3
170,of blank verse,with rhythmic variation,platypus,write a line of blank verse including the word platypus with rhythmic variation,The shy platypus swims beneath the moonlit stream.,The shy platypus swims beneath the moonlit stream.,the SHY.PLA ty PUS.SWIMS be NEATH the MOON lit STREAM,-++-++-+-+-+,-++-++-+-+++,3.0,3,7
171,of blank verse,with rhythmic variation,porcupine,write a line of blank verse including the word porcupine with rhythmic variation,The wary porcupine retreats at dusk.,The wary porcupine retreats at dusk.,the WA ry POR cu PINE re TREATS at DUSK,-+-+-+-+-+,-+-+-+-+-+,0,0,1
172,of blank verse,with rhythmic variation,pangolin,write a line of blank verse including the word pangolin with rhythmic variation,"The pangolin moves slow, a huddled grace concealed.","The pangolin moves slow, a huddled grace concealed.",the PAN go LIN moves SLOW a HUD dled GRACE con CEALED,-+-+-+-+-+-+,-+-+++-+-+-+,1.0,1,1
173,of blank verse,with rhythmic variation,ocelot,write a line of blank verse including the word ocelot with rhythmic variation,An ocelot moves through the shadowed night.,An ocelot moves through the shadowed night.,an O ce LOT.MOVES through.the SHA dowed NIGHT,-+-++--+-+,-+-++--+-+,1.0,1,3
174,of blank verse,with rhythmic variation,lemur,write a line of blank verse including the word lemur with rhythmic variation,The silent lemur leaps through moonlit trees.,The silent lemur leaps through moonlit trees.,the SI lent LE mur LEAPS through MOON lit TREES,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
175,of blank verse,with rhythmic variation,lemming,write a line of blank verse including the word lemming with rhythmic variation,"The lemming teeters, drawn to silent depths.","The lemming teeters, drawn to silent depths.",the LEM ming TEE ters DRAWN to SI lent DEPTHS,-+-+-+-+-+,-+-+-+-+-+,0,0,1
176,of blank verse,with rhythmic variation,otter,write a line of blank verse including the word otter with rhythmic variation,The otter slips through streams with quiet grace.,The otter slips through streams with quiet grace.,the OT ter SLIPS through STREAMS with QUI et GRACE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
177,of blank verse,with rhythmic variation,parrot,write a line of blank verse including the word parrot with rhythmic variation,The parrot's cry does pierce the morning's calm.,The parrot's cry does pierce the morning's calm.,the PAR rot's CRY does PIERCE the MOR ning's CALM,-+-+-+-+-+,-+-+-+-+-+,0,0,1
178,of blank verse,with rhythmic variation,squirrel,write a line of blank verse including the word squirrel with rhythmic variation,"The squirrel darts through branches, swift and free.","The squirrel darts through branches, swift and free.",the SQUIR rel DARTS through BRANC hes SWIFT and FREE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
179,of blank verse,with a trochaic inversion,bear,write a line of blank verse including the word bear with a trochaic inversion,"Bear the weight of sorrow, grief shall not prevail.","Bear the weight of sorrow, grief shall not prevail.",BEAR the WEIGHT of SOR row GRIEF shall NOT pre VAIL,+-+-+-+-+-+,+-+-+-+-+-+,0,0,1
180,of blank verse,with a trochaic inversion,whale,write a line of blank verse including the word whale with a trochaic inversion,Whale-song echoes deep beneath the ocean's roar.,Whale-song echoes deep beneath the ocean's roar.,WHALE song EC hoes DEEP be NEATH the O cean's ROAR,+-+-+-+-+-+,+++-+-+-+-+,1.0,1,1
181,of blank verse,with a trochaic inversion,sloth,write a line of blank verse including the word sloth with a trochaic inversion,Sloth consumes the hours meant for brighter deeds.,Sloth consumes the hours meant for brighter deeds.,SLOTH con SUMES the HO urs MEANT for BRIGH ter DEEDS,+-+-+-+-+-+,+-+-+-+-+-+,0,0,1
182,of blank verse,with a trochaic inversion,cat,write a line of blank verse including the word cat with a trochaic inversion,"Upon the windowsill, the cat reclines.","Upon the windowsill, the cat reclines.",u PON the WIN dow SILL the CAT re CLINES,-+-+-+-+-+,-+-+-+-+-+,0,0,1
183,of blank verse,with a trochaic inversion,dog,write a line of blank verse including the word dog with a trochaic inversion,A dog runs swiftly through the misty field.,A dog runs swiftly through the misty field.,a DOG runs SWIF tly THROUGH the MIS ty FIELD,-+-+-+-+-+,-+++---+-+,2.0,2,1
184,of blank verse,with a trochaic inversion,giraffe,write a line of blank verse including the word giraffe with a trochaic inversion,Giraffe stands tall beneath the blazing sun.,Giraffe stands tall beneath the blazing sun.,gi RAFFE stands TALL be NEATH the BLA zing SUN,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
185,of blank verse,with a trochaic inversion,gazelle,write a line of blank verse including the word gazelle with a trochaic inversion,Graceful gazelle leaps through the golden dawn.,Graceful gazelle leaps through the golden dawn.,GRA ceful.ga ZELLE.LEAPS through.the GOL den DAWN,+--++--+-+,+--++--+-+,2.0,2,6
186,of blank verse,with a trochaic inversion,baboon,write a line of blank verse including the word baboon with a trochaic inversion,To see the baboon swing through ancient trees.,To see the baboon swing through ancient trees.,to SEE the.ba BOON.SWING through AN cient TREES,-+--++-+-+,-+--++-+-+,2.0,2,3
187,of blank verse,with a trochaic inversion,raccoon,write a line of blank verse including the word raccoon with a trochaic inversion,Raccoon scurries through the woods at break of dawn.,Raccoon scurries through the woods at break of dawn.,rac COON.SCUR ries THROUGH the WOODS at BREAK of DAWN,-++-+-+-+-+,-++---+-+-+,2.0,2,3
188,of blank verse,with a trochaic inversion,macaw,write a line of blank verse including the word macaw with a trochaic inversion,A macaw with feathers bright adorns the dawn.,A macaw with feathers bright adorns the dawn.,a.ma CAW with FEAT hers BRIGHT a DORNS the DAWN,--+-+-+-+-+,--+-+-+-+-+,1.0,1,2
189,of blank verse,with a trochaic inversion,alpaca,write a line of blank verse including the word alpaca with a trochaic inversion,"Among the hills, the alpaca softly roams.","Among the hills, the alpaca softly roams.",a MONG the HILLS THE al PA ca SOF tly ROAMS,-+-++-+-+-+,-+-+--+-+-+,1.0,1,2
190,of blank verse,with a trochaic inversion,hyena,write a line of blank verse including the word hyena with a trochaic inversion,Hyena prowls beneath the moonlit skies.,Hyena prowls beneath the moonlit skies.,hye N a PROWLS be NEATH the MOON lit SKIES,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
191,of blank verse,with a trochaic inversion,chinchilla,write a line of blank verse including the word chinchilla with a trochaic inversion,"Upon the chinchilla, soft the moonlight falls.","Upon the chinchilla, soft the moonlight falls.",u PON the.chinc HIL la SOFT the MOON light FALLS,-+--+-+-+-+,-+--+-+-+++,2.0,2,3
192,of blank verse,with a trochaic inversion,coyote,write a line of blank verse including the word coyote with a trochaic inversion,"Coyote watches, shadowed by the dusk.","Coyote watches, shadowed by the dusk.",coy O te WATC hes SHA dowed BY the DUSK,-+-+-+-+-+,-+-+-+---+,1.0,1,4
193,of blank verse,with a trochaic inversion,gorilla,write a line of blank verse including the word gorilla with a trochaic inversion,"Górilla strides through shádows, mighty béast.","Górilla strides through shádows, mighty béast.",gó RIL la STRIDES through SHÁ dows MIGH ty BÉ ast,-+-+-+-+-+-,-+-+-+-+-+-,0,0,1
194,of blank verse,with a trochaic inversion,kangaroo,write a line of blank verse including the word kangaroo with a trochaic inversion,"Bounding strong, the kangaroo leaps through dusk.","Bounding strong, the kangaroo leaps through dusk.",BOUN ding STRONG the KAN ga ROO.LEAPS through DUSK,+-+-+-++-+,+-+-+-++-+,1.0,1,3
195,of blank verse,with a trochaic inversion,platypus,write a line of blank verse including the word platypus with a trochaic inversion,A platypus glides softly through the stream.,A platypus glides softly through the stream.,a PLA ty PUS glides SOF tly THROUGH the STREAM,-+-+-+-+-+,-+-+++---+,2.0,2,1
196,of blank verse,with a trochaic inversion,porcupine,write a line of blank verse including the word porcupine with a trochaic inversion,A porcupine will wander through the woods.,A porcupine will wander through the woods.,a POR cu PINE will WAN der THROUGH the WOODS,-+-+-+-+-+,-+-+-+---+,1.0,1,1
197,of blank verse,with a trochaic inversion,pangolin,write a line of blank verse including the word pangolin with a trochaic inversion,"Pángolin, it shíelds its bódy fróm the wórld.","Pángolin, it shíelds its bódy fróm the wórld.",PÁN go LIN it SHÍELDS its BÓ dy FRÓM the WÓRLD,+-+-+-+-+-+,+-+-+-+-+-+,0,0,1
198,of blank verse,with a trochaic inversion,ocelot,write a line of blank verse including the word ocelot with a trochaic inversion,An ocelot prowls through shadowed forest trails.,An ocelot prowls through shadowed forest trails.,an O ce LOT.PROWLS through SHA dowed FO rest TRAILS,-+-++-+-+-+,-+-++-+-+-+,1.0,1,3
199,of blank verse,with a trochaic inversion,lemur,write a line of blank verse including the word lemur with a trochaic inversion,"Lémur leaps through dárkened fórests, lónging frée.","Lémur leaps through dárkened fórests, lónging frée.",lémur LEAPS through DÁR kened FÓ rests LÓN ging FRÉE,-+-+-+-+-+,++-+-+-+-+,1.0,1,2
200,of blank verse,with a trochaic inversion,lemming,write a line of blank verse including the word lemming with a trochaic inversion,"Lemming leaps, a daring plunge to fateful depths.","Lemming leaps, a daring plunge to fateful depths.",LEM ming LEAPS a DA ring PLUNGE to FA teful DEPTHS,+-+-+-+-+-+,+-+-+-+-+-+,0,0,1
201,of blank verse,with a trochaic inversion,otter,write a line of blank verse including the word otter with a trochaic inversion,"Through the reeds, the **otter** slips with silent grace.","Through the reeds, the **otter** slips with silent grace.",through.the REEDS the OT ter SLIPS with SI lent GRACE,--+-+-+-+-+,--+-+-+-+-+,0,0,1
202,of blank verse,with a trochaic inversion,parrot,write a line of blank verse including the word parrot with a trochaic inversion,A parrot calls out loudly from the trees.,A parrot calls out loudly from the trees.,a PAR rot CALLS out LOU dly FROM the TREES,-+-+-+-+-+,-+-+-+---+,1.0,1,1
203,of blank verse,with a trochaic inversion,squirrel,write a line of blank verse including the word squirrel with a trochaic inversion,"Through branches leaps the squirrel, swift and free.","Through branches leaps the squirrel, swift and free.",through BRANC hes LEAPS the SQUIR rel SWIFT and FREE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
206,of blank verse,with a trochaic inversion after a caesura,sloth,write a line of blank verse including the word sloth with a trochaic inversion after a caesura,"To rouse, the creeping sloth ignores the call.","To rouse, the creeping sloth ignores the call.",to ROUSE the CREE ping SLOTH i GNORES the CALL,-+-+-+-+-+,-+-+-+-+-+,0,0,1
207,of blank verse,with a trochaic inversion after a caesura,cat,write a line of blank verse including the word cat with a trochaic inversion after a caesura,"The house was still; the cat, with silent steps, prowled.","The house was still; the cat, with silent steps, prowled.",the HOUSE was STILL the CAT with SI lent STEPS,-+-+-+-+-+,-+-+-+-+-+,0,0,1
208,of blank verse,with a trochaic inversion after a caesura,dog,write a line of blank verse including the word dog with a trochaic inversion after a caesura,I paused; and then the dog began to bark.,I paused; and then the dog began to bark.,i PAUSED and THEN the DOG be GAN to BARK,-+-+-+-+-+,-+-+-+-+-+,0,0,1
