,meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
491,of blank verse,with an inverted foot,lie,write a line of blank verse including the word lie with an inverted foot,Whispers lie beneath the silent stars tonight.,Whispers lie beneath the silent stars tonight.,WHIS pers LIE be NEATH the SI lent STARS to NIGHT,+-+-+-+-+-+,+-+-+-+-+-+,0,0,1
496,of blank verse,with an inverted foot,love,write a line of blank verse including the word love with an inverted foot,Love surrounds the silent hills at break of day.,Love surrounds the silent hills at break of day.,LOVE sur ROUNDS the SI lent HILLS at BREAK of DAY,+-+-+-+-+-+,+-+-+-+-+-+,0,0,1
501,of blank verse,with an inverted foot,hate,write a line of blank verse including the word hate with an inverted foot,Hate hangs upon the whispers of the night,Hate hangs upon the whispers of the night,hate HANGS u PON the WHIS pers OF the NIGHT,-+-+-+-+-+,++-+-+---+,2.0,2,2
506,of blank verse,with an inverted foot,beginning,write a line of blank verse including the word beginning with an inverted foot,Shadows lift at the beginning of day,Shadows lift at the beginning of day,SHA dows LIFT at THE be GIN ning.of DAY,+-+-+-+--+,+++---+--+,3.0,3,4
511,of blank verse,with an inverted foot,ultimate,write a line of blank verse including the word ultimate with an inverted foot,Ultimate shadows stretch across the silent field.,Ultimate shadows stretch across the silent field.,UL ti.mate SHA dows STRETCH a CROSS the SI lent FIELD,+--+-+-+-+-+,+--+++-+-+-+,2.0,2,2
516,of blank verse,with an inverted foot,reason,write a line of blank verse including the word reason with an inverted foot,Silent reason steers us through the night,Silent reason steers us through the night,SI lent REA son STEERS us THROUGH the NIGHT,+-+-+-+-+,+-+-+---+,1.0,1,1
521,of blank verse,with an inverted foot,deceit,write a line of blank verse including the word deceit with an inverted foot,Deceit shadows the light of evening's calm.,Deceit shadows the light of evening's calm.,de CEIT sha DOWS the LIGHT of E vening's CALM,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
526,of blank verse,with a trochaic inversion at the end of the line,sorrow,write a line of blank verse including the word sorrow with a trochaic inversion at the end of the line,Through silent woods the sorrow whispers soft.,Through silent woods the sorrow whispers soft.,through SI lent WOODS the SOR row WHIS pers SOFT,-+-+-+-+-+,-+-+-+-+-+,0,0,1
531,of blank verse,with a trochaic inversion at the end of the line,lament,write a line of blank verse including the word lament with a trochaic inversion at the end of the line,"Upon the moor, our voices lament","Upon the moor, our voices lament",u PON the MOOR our VOI ces.la MENT,-+-+-+--+,-+-+-+--+,1.0,1,4
536,of blank verse,with a trochaic inversion at the end of the line,truth,write a line of blank verse including the word truth with a trochaic inversion at the end of the line,"Amid the storm, the steadfast heart reveals truth","Amid the storm, the steadfast heart reveals truth",a MID the STORM the STEA dfast HEART re VEALS truth,-+-+-+-+-+-,-+-+-+++-++,2.0,2,2
541,of blank verse,with a trochaic inversion at the end of the line,lie,write a line of blank verse including the word lie with a trochaic inversion at the end of the line,"Beneath the moon, their whispered secrets lie.","Beneath the moon, their whispered secrets lie.",be NEATH the MOON their WHIS pered SE crets LIE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
546,of blank verse,with a trochaic inversion at the end of the line,love,write a line of blank verse including the word love with a trochaic inversion at the end of the line,Love sustains us through the darkest of the night,Love sustains us through the darkest of the night,LOVE sus TAINS us THROUGH the DAR kest OF the NIGHT,+-+-+-+-+-+,+-+---+---+,2.0,2,1
551,of blank verse,with a trochaic inversion at the end of the line,hate,write a line of blank verse including the word hate with a trochaic inversion at the end of the line,"As twilight falls, my heart still holds its hate","As twilight falls, my heart still holds its hate",as TWI light FALLS my HEART still HOLDS its HATE,-+-+-+-+-+,-+++-+++-+,2.0,2,1
556,of blank verse,with a trochaic inversion at the end of the line,beginning,write a line of blank verse including the word beginning with a trochaic inversion at the end of the line,The silent woods conceal their **BE**ginning,The silent woods conceal their **BE**ginning,the SI lent WOODS con CEAL their.be GIN ning,-+-+-+--+-,-+-+-+--+-,0,0,1
561,of blank verse,with a trochaic inversion at the end of the line,ultimate,write a line of blank verse including the word ultimate with a trochaic inversion at the end of the line,"Upon the edge of ultimate night,","Upon the edge of ultimate night,",u PON the EDGE of UL ti.mate NIGHT,-+-+-+--+,-+-+-+--+,1.0,1,3
566,of blank verse,with a trochaic inversion at the end of the line,reason,write a line of blank verse including the word reason with a trochaic inversion at the end of the line,The morning breaks with clear and calm reason.,The morning breaks with clear and calm reason.,the MOR ning BREAKS with CLEAR and CALM.REA son,-+-+-+-++-,-+-+-+-++-,1.0,1,3
571,of blank verse,with a trochaic inversion at the end of the line,deceit,write a line of blank verse including the word deceit with a trochaic inversion at the end of the line,Upon the twilight veil of dark deceit,Upon the twilight veil of dark deceit,u PON the TWI light VEIL of DARK de CEIT,-+-+-+-+-+,-+-+++-+-+,1.0,1,1
576,in meter,,sorrow,write a line in meter including the word sorrow ,"Beneath the moon, we dance with quiet sorrow.","Beneath the moon, we dance with quiet sorrow.",be NEATH the MOON we DANCE with QUI et SOR row,-+-+-+-+-+-,-+-+-+-+-+-,0,0,1
581,in meter,,lament,write a line in meter including the word lament ,"Beneath the silver sky, my heart does lament.","Beneath the silver sky, my heart does lament.",be NEATH the SIL ver SKY my HEART does.la MENT,-+-+-+-+--+,-+-+-+-+--+,1.0,1,4
586,in meter,,truth,write a line in meter including the word truth ,"Upon the dawn, the light unveils the truth.","Upon the dawn, the light unveils the truth.",u PON the DAWN the LIGHT un VEILS the TRUTH,-+-+-+-+-+,-+-+-+-+-+,0,0,1
591,in meter,,lie,write a line in meter including the word lie ,"Upon the breeze, a whispered soft-born lie.","Upon the breeze, a whispered soft-born lie.",u PON the BREEZE a WHIS pered SOFT born LIE,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
596,in meter,,love,write a line in meter including the word love ,"Beneath the moon, our hearts entwined with love.","Beneath the moon, our hearts entwined with love.",be NEATH the MOON our HEARTS en TWINED with LOVE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
601,in meter,,hate,write a line in meter including the word hate ,"Beneath the moonlight, shadows weave my hate.","Beneath the moonlight, shadows weave my hate.",be NEATH the MOON light SHA dows WEAVE my HATE,-+-+-+-+-+,-+-+++++-+,2.0,2,4
606,in meter,,beginning,write a line in meter including the word beginning ,With every sunrise comes a new beginning.,With every sunrise comes a new beginning.,with E very SUN rise COMES a NEW be GIN ning,-+-+-+-+-+-,-+-+++-+-+-,1.0,1,1
611,in meter,,ultimate,write a line in meter including the word ultimate ,"Beneath the stars, the ultimate dreams align","Beneath the stars, the ultimate dreams align",be NEATH the STARS the UL ti.mate DREAMS a LIGN,-+-+-+--+-+,-+-+-+--+-+,1.0,1,3
616,in meter,,reason,write a line in meter including the word reason ,"Beneath the stars, I find my guiding reason.","Beneath the stars, I find my guiding reason.",be NEATH the STARS i FIND my GUI ding REA son,-+-+-+-+-+-,-+-+-+-+-+-,0,0,1
621,in meter,,deceit,write a line in meter including the word deceit ,Her whispered lies concealed a deep deceit.,Her whispered lies concealed a deep deceit.,her WHIS pered LIES con CEALED a DEEP de CEIT,-+-+-+-+-+,-+-+-+-+-+,0,0,1
626,in meter,with rhythmic variation,sorrow,write a line in meter including the word sorrow with rhythmic variation,"Beneath the silver moon, my sorrow softly flows","Beneath the silver moon, my sorrow softly flows",be NEATH the SIL ver MOON my SOR row SOF tly FLOWS,-+-+-+-+-+-+,-+-+-+-+-+-+,0,0,1
631,in meter,with rhythmic variation,lament,write a line in meter including the word lament with rhythmic variation,"Beneath the silver moon, my soul begins to lament","Beneath the silver moon, my soul begins to lament",be NEATH the SIL ver MOON my SOUL be GINS to.la MENT,-+-+-+-+-+--+,-+-+-+-+-+--+,1.0,1,3
636,in meter,with rhythmic variation,truth,write a line in meter including the word truth with rhythmic variation,"Amid the shadows, truth unveils its light.","Amid the shadows, truth unveils its light.",a MID the SHA.DOWS TRUTH un VEILS its LIGHT,-+-+++-+-+,-+-+++-+-+,0,0,1
641,in meter,with rhythmic variation,lie,write a line in meter including the word lie with rhythmic variation,"In twilight’s hush, the shadows softly lie.",,,,,,,
642,in meter,with rhythmic variation,love,write a line in meter including the word love with rhythmic variation,"Love meanders through the silent, starlit night.","Love meanders through the silent, starlit night.",LOVE mean DE rs THROUGH the SI lent STAR lit NIGHT,+-+-+-+-+-+,+-+---+-+-+,1.0,1,1
647,in meter,with rhythmic variation,hate,write a line in meter including the word hate with rhythmic variation,"Beneath the moon, my heart harbors silent hate.","Beneath the moon, my heart harbors silent hate.",be NEATH the MOON my HEART.HAR bors SI lent HATE,-+-+-++-+-+,-+-+-++-+-+,1.0,1,3
652,in meter,with rhythmic variation,beginning,write a line in meter including the word beginning with rhythmic variation,"Beneath the moon, the rhythmic shadows play.","Beneath the moon, the rhythmic shadows play.",be NEATH the MOON the RHYT hmic SHA dows PLAY,-+-+-+-+-+,-+-+-+-+++,1.0,1,2
657,in meter,with rhythmic variation,ultimate,write a line in meter including the word ultimate with rhythmic variation,"In the ultimate twilight, stars whisper silent dreams.","In the ultimate twilight, stars whisper silent dreams.",in.the UL ti MATE twi LIGHT stars WHIS per SI lent DREAMS,--+-+-+-+-+-+,--+--++++-+-+,3.0,3,12
662,in meter,with rhythmic variation,reason,write a line in meter including the word reason with rhythmic variation,"Through tangled thoughts, reason finds its quiet way.","Through tangled thoughts, reason finds its quiet way.",through TAN gled THOUGHTS REA son FINDS its QUI et WAY,-+-++-+-+-+,-+-++-+-+-+,0,0,1
667,in meter,with rhythmic variation,deceit,write a line in meter including the word deceit with rhythmic variation,Whispers dance beneath the veil of deceit.,Whispers dance beneath the veil of deceit.,WHIS pers DANCE be NEATH the VEIL of.de CEIT,+-+-+-+--+,+-+-+-+--+,1.0,1,3
672,in meter,with a trochaic inversion,sorrow,write a line in meter including the word sorrow with a trochaic inversion,"Beyond sorrow's veil, the shadows dance.","Beyond sorrow's veil, the shadows dance.",bey OND.SOR row's VEIL the SHA dows DANCE,-++-+-+-+,-++-+-+++,2.0,2,6
677,in meter,with a trochaic inversion,lament,write a line in meter including the word lament with a trochaic inversion,Alone the stars mournful lament,Alone the stars mournful lament,a LONE the STARS.MOURN ful.la MENT,-+-++--+,-+-++--+,2.0,2,3
682,in meter,with a trochaic inversion,truth,write a line in meter including the word truth with a trochaic inversion,Embrace the truth where twilight shadows play.,Embrace the truth where twilight shadows play.,em BRACE the TRUTH where TWI light SHA dows PLAY,-+-+-+-+-+,-+-+-+++++,2.0,2,4
687,in meter,with a trochaic inversion,lie,write a line in meter including the word lie with a trochaic inversion,Upon the twilight lies a sigh.,Upon the twilight lies a sigh.,u PON the TWI light LIES a SIGH,-+-+-+-+,-+-+++-+,1.0,1,1
692,in meter,with a trochaic inversion,love,write a line in meter including the word love with a trochaic inversion,Love whispers softly in the night,Love whispers softly in the night,love WHIS pers SOF tly IN the NIGHT,-+-+-+-+,++-+-+-+,1.0,1,2
697,in meter,with a trochaic inversion,hate,write a line in meter including the word hate with a trochaic inversion,Silent hate beneath the silver moon.,Silent hate beneath the silver moon.,SI lent HATE be NEATH the SIL ver MOON,+-+-+-+-+,+-+-+-+-+,0,0,1
702,in meter,with a trochaic inversion,beginning,write a line in meter including the word beginning with a trochaic inversion,Alone the beginning casts its silent spell.,Alone the beginning casts its silent spell.,a LONE the.be GIN ning CASTS its SI lent SPELL,-+--+-+-+-+,-+--+-+-+-+,1.0,1,3
707,in meter,with a trochaic inversion,ultimate,write a line in meter including the word ultimate with a trochaic inversion,Upon the ultimate darkened skies,Upon the ultimate darkened skies,u PON the UL ti.mate DAR kened SKIES,-+-+--+-+,-+-+--+-+,1.0,1,3
712,in meter,with a trochaic inversion,reason,write a line in meter including the word reason with a trochaic inversion,Beyond the reason's silent call,Beyond the reason's silent call,bey OND the REA son's SI lent CALL,-+-+-+-+,-+-+-+-+,0,0,2
717,in meter,with a trochaic inversion,deceit,write a line in meter including the word deceit with a trochaic inversion,Within deceit the silent shadows fall,Within deceit the silent shadows fall,wit HIN de CEIT the SI lent SHA dows FALL,-+-+-+-+-+,-+-+-+-+++,1.0,1,2
722,in meter,with a trochaic inversion after a caesura,sorrow,write a line in meter including the word sorrow with a trochaic inversion after a caesura,"Night falls softly, sorrow shadows deep.","Night falls softly, sorrow shadows deep.",NIGHT falls SOF tly SOR row SHA dows DEEP,+-+-+-+-+,+++-+-+++,2.0,2,2
727,in meter,with a trochaic inversion after a caesura,lament,write a line in meter including the word lament with a trochaic inversion after a caesura,Lament weaves—upon the silent breeze,,,,,,,
728,in meter,with a trochaic inversion after a caesura,truth,write a line in meter including the word truth with a trochaic inversion after a caesura,"Bright the morning sun, before truth softly speaks","Bright the morning sun, before truth softly speaks",BRIGHT the MOR ning SUN be FORE truth SOF tly SPEAKS,+-+-+-+-+-+,+-+-+-+++-+,1.0,1,2
733,in meter,with a trochaic inversion after a caesura,lie,write a line in meter including the word lie with a trochaic inversion after a caesura,Silent shadows fall—**Lie** beneath the moon.,,,,,,,
734,in meter,with a trochaic inversion after a caesura,love,write a line in meter including the word love with a trochaic inversion after a caesura,"Upon the meadow's edge, Love dances in the breeze","Upon the meadow's edge, Love dances in the breeze",u PON the MEA dow's EDGE love DAN ces IN the BREEZE,-+-+-+-+-+-+,-+-+-+++-+-+,1.0,1,2
738,in meter,with a trochaic inversion after a caesura,hate,write a line in meter including the word hate with a trochaic inversion after a caesura,"Morning breaks, I hate the fleeting night","Morning breaks, I hate the fleeting night",MOR ning BREAKS i HATE the FLEE ting NIGHT,+-+-+-+-+,+-+-+-+-+,0,0,1
742,in meter,with a trochaic inversion after a caesura,beginning,write a line in meter including the word beginning with a trochaic inversion after a caesura,Twilight dims—Beginning shadows fall.,,,,,,,
743,in meter,with a trochaic inversion after a caesura,ultimate,write a line in meter including the word ultimate with a trochaic inversion after a caesura,Through endless skies to ultimate / Darkness wraps the silent field.,Through endless skies to ultimate / Darkness wraps the silent field.,through EN dless SKIES to UL ti.mate DAR kness WRAPS the SI lent FIELD,-+-+-+--+-+-+-+,-+-+-+--+-+-+-+,1.0,1,3
747,in meter,with a trochaic inversion after a caesura,reason,write a line in meter including the word reason with a trochaic inversion after a caesura,"Silent night, Reason whispers in the dark","Silent night, Reason whispers in the dark",SI lent NIGHT REA son WHIS pers IN the DARK,+-++-+-+-+,+-++-+-+-+,0,0,1
751,in meter,with a trochaic inversion after a caesura,deceit,write a line in meter including the word deceit with a trochaic inversion after a caesura,"Twilight dims, deceit unveils the dark","Twilight dims, deceit unveils the dark",TWI light DIMS de CEIT un VEILS the DARK,+-+-+-+-+,+++-+-+-+,1.0,1,1
755,in meter,with an inverted foot,sorrow,write a line in meter including the word sorrow with an inverted foot,Sorrow cloaks the night in silent dreams.,Sorrow cloaks the night in silent dreams.,SOR row CLOAKS the NIGHT in SI lent DREAMS,+-+-+-+-+,+-+-+-+-+,0,0,1
759,in meter,with an inverted foot,lament,write a line in meter including the word lament with an inverted foot,"Beneath the moonlight's glow, my soul does lament","Beneath the moonlight's glow, my soul does lament",be NEATH the MOON light's GLOW my SOUL does.la MENT,-+-+-+-+--+,-+-+-+-+--+,1.0,1,4
763,in meter,with an inverted foot,truth,write a line in meter including the word truth with an inverted foot,Hidden truth beneath the silent moon.,Hidden truth beneath the silent moon.,HID den TRUTH be NEATH the SI lent MOON,+-+-+-+-+,+-+-+-+-+,0,0,1
767,in meter,with an inverted foot,lie,write a line in meter including the word lie with an inverted foot,Silent lies the moon upon the bay.,Silent lies the moon upon the bay.,SI lent LIES the MOON u PON the BAY,+-+-+-+-+,+-+-+-+-+,0,0,1
771,in meter,with an inverted foot,love,write a line in meter including the word love with an inverted foot,Love's gentle whisper calls the stars.,Love's gentle whisper calls the stars.,love's GEN tle WHIS per CALLS the STARS,-+-+-+-+,++-+-+-+,1.0,1,2
775,in meter,with an inverted foot,hate,write a line in meter including the word hate with an inverted foot,Hate shadows creep through twilight’s gentle veil.,,,,,,,
776,in meter,with an inverted foot,beginning,write a line in meter including the word beginning with an inverted foot,Silent whispers greet the day's beginning.,Silent whispers greet the day's beginning.,SI lent WHIS pers GREET the DAY'S be GIN ning,+-+-+-+-+-,+-+-+-+-+-,0,0,1
780,in meter,with an inverted foot,ultimate,write a line in meter including the word ultimate with an inverted foot,Ultimate dreams descend on silent night.,Ultimate dreams descend on silent night.,UL ti.mate DREAMS des CEND on SI lent NIGHT,+--+-+-+-+,+--+-+-+-+,1.0,1,3
784,in meter,with an inverted foot,reason,write a line in meter including the word reason with an inverted foot,Reason speaks beneath the silent moon.,Reason speaks beneath the silent moon.,REA son SPEAKS be NEATH the SI lent MOON,+-+-+-+-+,+-+-+-+-+,0,0,1
788,in meter,with an inverted foot,deceit,write a line in meter including the word deceit with an inverted foot,"Through lies of subtle deceit we tread,","Through lies of subtle deceit we tread,",through LIES of SUB tle.de CEIT we TREAD,-+-+--+-+,-+-+--+-+,1.0,1,2
792,in meter,with a trochaic inversion at the end of the line,sorrow,write a line in meter including the word sorrow with a trochaic inversion at the end of the line,Echoes of sorrow darken the day,Echoes of sorrow darken the day,EC hoes.of SOR row DAR ken.the DAY,+--+-+--+,+--+-+--+,2.0,2,4
796,in meter,with a trochaic inversion at the end of the line,lament,write a line in meter including the word lament with a trochaic inversion at the end of the line,Autumn leaves begin to lament,Autumn leaves begin to lament,AU tumn LEAVES be GIN to.la MENT,+-+-+--+,+-+-+--+,1.0,1,3
800,in meter,with a trochaic inversion at the end of the line,truth,write a line in meter including the word truth with a trochaic inversion at the end of the line,Silent shadows keep the truth tonight,Silent shadows keep the truth tonight,SI lent SHA dows KEEP the TRUTH to NIGHT,+-+-+-+-+,+-+++-+-+,1.0,1,1
804,in meter,with a trochaic inversion at the end of the line,lie,write a line in meter including the word lie with a trochaic inversion at the end of the line,Silent echoes gently lie,Silent echoes gently lie,SI lent EC hoes GEN tly LIE,+-+-+-+,+-+-+-+,0,0,1
808,in meter,with a trochaic inversion at the end of the line,love,write a line in meter including the word love with a trochaic inversion at the end of the line,Whispered dreams entwine with silent love.,Whispered dreams entwine with silent love.,WHIS pered DREAMS en TWINE with SI lent LOVE,+-+-+-+-+,+-+-+-+-+,0,0,1
812,in meter,with a trochaic inversion at the end of the line,hate,write a line in meter including the word hate with a trochaic inversion at the end of the line,The storm within me builds a deep hate.,The storm within me builds a deep hate.,the STORM wit HIN me BUILDS a DEEP hate,-+-+-+-+-,-+-+-+-++,1.0,1,2
816,in meter,with a trochaic inversion at the end of the line,beginning,write a line in meter including the word beginning with a trochaic inversion at the end of the line,Silent whispers in the night resound,Silent whispers in the night resound,SI lent WHIS pers IN the NIGHT re SOUND,+-+-+-+-+,+-+-+-+++,1.0,1,2
820,in meter,with a trochaic inversion at the end of the line,ultimate,write a line in meter including the word ultimate with a trochaic inversion at the end of the line,Ultimate shadows fall away,Ultimate shadows fall away,UL ti.mate SHA dows FALL a WAY,+--+-+-+,+--+++-+,2.0,2,2
824,in meter,with a trochaic inversion at the end of the line,reason,write a line in meter including the word reason with a trochaic inversion at the end of the line,Silent tears beneath reason's veil,Silent tears beneath reason's veil,SI lent TEARS be NEATH.REA son's VEIL,+-+-++-+,+-+-++-+,1.0,1,4
828,in meter,with a trochaic inversion at the end of the line,deceit,write a line in meter including the word deceit with a trochaic inversion at the end of the line,Shadows whisper secrets of deceit,Shadows whisper secrets of deceit,SHA dows WHIS per SE crets OF de CEIT,+-+-+-+-+,+++-+---+,2.0,2,2
